timestamp,tag_name,asset_id,value,unit,quality
2026-03-16T00:00:00Z,CP-001.LOAD_PCT,CP-001,71.2,%,Good
2026-03-16T00:15:00Z,CP-001.LOAD_PCT,CP-001,70.9,%,Good
2026-03-16T00:30:00Z,CP-001.LOAD_PCT,CP-001,68.0,%,Good
2026-03-16T00:45:00Z,CP-001.LOAD_PCT,CP-001,74.6,%,Good
2026-03-16T01:00:00Z,CP-001.LOAD_PCT,CP-001,74.9,%,Good
2026-03-16T01:15:00Z,CP-001.LOAD_PCT,CP-001,58.9,%,Good
2026-03-16T01:30:00Z,CP-001.LOAD_PCT,CP-001,71.3,%,Good
2026-03-16T01:45:00Z,CP-001.LOAD_PCT,CP-001,80.7,%,Good
2026-03-16T02:00:00Z,CP-001.LOAD_PCT,CP-001,72.4,%,Good
2026-03-16T02:15:00Z,CP-001.LOAD_PCT,CP-001,58.4,%,Good
2026-03-16T02:30:00Z,CP-001.LOAD_PCT,CP-001,62.8,%,Good
2026-03-16T02:45:00Z,CP-001.LOAD_PCT,CP-001,66.8,%,Good
2026-03-16T03:00:00Z,CP-001.LOAD_PCT,CP-001,58.8,%,Good
2026-03-16T03:15:00Z,CP-001.LOAD_PCT,CP-001,72.7,%,Good
2026-03-16T03:30:00Z,CP-001.LOAD_PCT,CP-001,65.4,%,Good
2026-03-16T03:45:00Z,CP-001.LOAD_PCT,CP-001,66.1,%,Good
2026-03-16T04:00:00Z,CP-001.LOAD_PCT,CP-001,70.4,%,Good
2026-03-16T04:15:00Z,CP-001.LOAD_PCT,CP-001,70.4,%,Good
2026-03-16T04:30:00Z,CP-001.LOAD_PCT,CP-001,81.9,%,Good
2026-03-16T04:45:00Z,CP-001.LOAD_PCT,CP-001,67.2,%,Good
2026-03-16T05:00:00Z,CP-001.LOAD_PCT,CP-001,69.9,%,Good
2026-03-16T05:15:00Z,CP-001.LOAD_PCT,CP-001,70.2,%,Good
2026-03-16T05:30:00Z,CP-001.LOAD_PCT,CP-001,75.9,%,Good
2026-03-16T05:45:00Z,CP-001.LOAD_PCT,CP-001,83.1,%,Good
2026-03-16T06:00:00Z,CP-001.LOAD_PCT,CP-001,70.7,%,Good
2026-03-16T06:15:00Z,CP-001.LOAD_PCT,CP-001,78.8,%,Good
2026-03-16T06:30:00Z,CP-001.LOAD_PCT,CP-001,72.7,%,Good
2026-03-16T06:45:00Z,CP-001.LOAD_PCT,CP-001,64.2,%,Good
2026-03-16T07:00:00Z,CP-001.LOAD_PCT,CP-001,71.2,%,Good
2026-03-16T07:15:00Z,CP-001.LOAD_PCT,CP-001,69.9,%,Good
2026-03-16T07:30:00Z,CP-001.LOAD_PCT,CP-001,78.1,%,Good
2026-03-16T07:45:00Z,CP-001.LOAD_PCT,CP-001,71.1,%,Good
2026-03-16T08:00:00Z,CP-001.LOAD_PCT,CP-001,69.8,%,Good
2026-03-16T08:15:00Z,CP-001.LOAD_PCT,CP-001,81.3,%,Good
2026-03-16T08:30:00Z,CP-001.LOAD_PCT,CP-001,70.3,%,Good
2026-03-16T08:45:00Z,CP-001.LOAD_PCT,CP-001,74.7,%,Good
2026-03-16T09:00:00Z,CP-001.LOAD_PCT,CP-001,79.0,%,Good
2026-03-16T09:15:00Z,CP-001.LOAD_PCT,CP-001,87.0,%,Good
2026-03-16T09:30:00Z,CP-001.LOAD_PCT,CP-001,77.6,%,Good
2026-03-16T09:45:00Z,CP-001.LOAD_PCT,CP-001,82.4,%,Good
2026-03-16T10:00:00Z,CP-001.LOAD_PCT,CP-001,69.1,%,Good
2026-03-16T10:15:00Z,CP-001.LOAD_PCT,CP-001,76.5,%,Good
2026-03-16T10:30:00Z,CP-001.LOAD_PCT,CP-001,70.7,%,Good
2026-03-16T10:45:00Z,CP-001.LOAD_PCT,CP-001,65.1,%,Good
2026-03-16T11:00:00Z,CP-001.LOAD_PCT,CP-001,76.9,%,Good
2026-03-16T11:15:00Z,CP-001.LOAD_PCT,CP-001,75.4,%,Good
2026-03-16T11:30:00Z,CP-001.LOAD_PCT,CP-001,82.2,%,Good
2026-03-16T11:45:00Z,CP-001.LOAD_PCT,CP-001,78.1,%,Good
2026-03-16T12:00:00Z,CP-001.LOAD_PCT,CP-001,77.3,%,Good
2026-03-16T12:15:00Z,CP-001.LOAD_PCT,CP-001,71.4,%,Good
2026-03-16T12:30:00Z,CP-001.LOAD_PCT,CP-001,77.0,%,Good
2026-03-16T12:45:00Z,CP-001.LOAD_PCT,CP-001,72.9,%,Good
2026-03-16T13:00:00Z,CP-001.LOAD_PCT,CP-001,70.1,%,Good
2026-03-16T13:15:00Z,CP-001.LOAD_PCT,CP-001,71.0,%,Good
2026-03-16T13:30:00Z,CP-001.LOAD_PCT,CP-001,72.2,%,Good
2026-03-16T13:45:00Z,CP-001.LOAD_PCT,CP-001,70.2,%,Good
2026-03-16T14:00:00Z,CP-001.LOAD_PCT,CP-001,80.1,%,Good
2026-03-16T14:15:00Z,CP-001.LOAD_PCT,CP-001,74.0,%,Good
2026-03-16T14:30:00Z,CP-001.LOAD_PCT,CP-001,69.9,%,Good
2026-03-16T14:45:00Z,CP-001.LOAD_PCT,CP-001,73.0,%,Good
2026-03-16T15:00:00Z,CP-001.LOAD_PCT,CP-001,76.2,%,Good
2026-03-16T15:15:00Z,CP-001.LOAD_PCT,CP-001,79.3,%,Good
2026-03-16T15:30:00Z,CP-001.LOAD_PCT,CP-001,72.1,%,Good
2026-03-16T15:45:00Z,CP-001.LOAD_PCT,CP-001,71.8,%,Good
2026-03-16T16:00:00Z,CP-001.LOAD_PCT,CP-001,66.3,%,Good
2026-03-16T16:15:00Z,CP-001.LOAD_PCT,CP-001,70.2,%,Good
2026-03-16T16:30:00Z,CP-001.LOAD_PCT,CP-001,66.8,%,Good
2026-03-16T16:45:00Z,CP-001.LOAD_PCT,CP-001,69.8,%,Good
2026-03-16T17:00:00Z,CP-001.LOAD_PCT,CP-001,67.8,%,Good
2026-03-16T17:15:00Z,CP-001.LOAD_PCT,CP-001,75.1,%,Good
2026-03-16T17:30:00Z,CP-001.LOAD_PCT,CP-001,64.4,%,Good
2026-03-16T17:45:00Z,CP-001.LOAD_PCT,CP-001,76.0,%,Good
2026-03-16T18:00:00Z,CP-001.LOAD_PCT,CP-001,82.7,%,Good
2026-03-16T18:15:00Z,CP-001.LOAD_PCT,CP-001,72.3,%,Good
2026-03-16T18:30:00Z,CP-001.LOAD_PCT,CP-001,67.0,%,Good
2026-03-16T18:45:00Z,CP-001.LOAD_PCT,CP-001,77.8,%,Good
2026-03-16T19:00:00Z,CP-001.LOAD_PCT,CP-001,74.7,%,Good
2026-03-16T19:15:00Z,CP-001.LOAD_PCT,CP-001,76.5,%,Good
2026-03-16T19:30:00Z,CP-001.LOAD_PCT,CP-001,64.1,%,Good
2026-03-16T19:45:00Z,CP-001.LOAD_PCT,CP-001,68.4,%,Good
2026-03-16T20:00:00Z,CP-001.LOAD_PCT,CP-001,65.9,%,Good
2026-03-16T20:15:00Z,CP-001.LOAD_PCT,CP-001,71.2,%,Good
2026-03-16T20:30:00Z,CP-001.LOAD_PCT,CP-001,67.7,%,Good
2026-03-16T20:45:00Z,CP-001.LOAD_PCT,CP-001,71.1,%,Good
2026-03-16T21:00:00Z,CP-001.LOAD_PCT,CP-001,62.2,%,Good
2026-03-16T21:15:00Z,CP-001.LOAD_PCT,CP-001,75.7,%,Good
2026-03-16T21:30:00Z,CP-001.LOAD_PCT,CP-001,57.7,%,Good
2026-03-16T21:45:00Z,CP-001.LOAD_PCT,CP-001,64.7,%,Good
2026-03-16T22:00:00Z,CP-001.LOAD_PCT,CP-001,67.8,%,Good
2026-03-16T22:15:00Z,CP-001.LOAD_PCT,CP-001,71.2,%,Good
2026-03-16T22:30:00Z,CP-001.LOAD_PCT,CP-001,66.5,%,Good
2026-03-16T22:45:00Z,CP-001.LOAD_PCT,CP-001,67.5,%,Good
2026-03-16T23:00:00Z,CP-001.LOAD_PCT,CP-001,70.1,%,Good
2026-03-16T23:15:00Z,CP-001.LOAD_PCT,CP-001,57.9,%,Good
2026-03-16T23:30:00Z,CP-001.LOAD_PCT,CP-001,60.1,%,Good
2026-03-16T23:45:00Z,CP-001.LOAD_PCT,CP-001,70.4,%,Good
2026-03-17T00:00:00Z,CP-001.LOAD_PCT,CP-001,70.9,%,Good
2026-03-17T00:15:00Z,CP-001.LOAD_PCT,CP-001,58.9,%,Good
2026-03-17T00:30:00Z,CP-001.LOAD_PCT,CP-001,62.9,%,Good
2026-03-17T00:45:00Z,CP-001.LOAD_PCT,CP-001,67.5,%,Good
2026-03-17T01:00:00Z,CP-001.LOAD_PCT,CP-001,74.4,%,Good
2026-03-17T01:15:00Z,CP-001.LOAD_PCT,CP-001,74.7,%,Good
2026-03-17T01:30:00Z,CP-001.LOAD_PCT,CP-001,66.6,%,Good
2026-03-17T01:45:00Z,CP-001.LOAD_PCT,CP-001,68.3,%,Good
2026-03-17T02:00:00Z,CP-001.LOAD_PCT,CP-001,75.0,%,Good
2026-03-17T02:15:00Z,CP-001.LOAD_PCT,CP-001,75.0,%,Good
2026-03-17T02:30:00Z,CP-001.LOAD_PCT,CP-001,66.3,%,Good
2026-03-17T02:45:00Z,CP-001.LOAD_PCT,CP-001,71.1,%,Good
2026-03-17T03:00:00Z,CP-001.LOAD_PCT,CP-001,71.1,%,Good
2026-03-17T03:15:00Z,CP-001.LOAD_PCT,CP-001,68.9,%,Good
2026-03-17T03:30:00Z,CP-001.LOAD_PCT,CP-001,56.3,%,Good
2026-03-17T03:45:00Z,CP-001.LOAD_PCT,CP-001,78.1,%,Good
2026-03-17T04:00:00Z,CP-001.LOAD_PCT,CP-001,66.2,%,Good
2026-03-17T04:15:00Z,CP-001.LOAD_PCT,CP-001,70.0,%,Good
2026-03-17T04:30:00Z,CP-001.LOAD_PCT,CP-001,71.7,%,Good
2026-03-17T04:45:00Z,CP-001.LOAD_PCT,CP-001,72.8,%,Good
2026-03-17T05:00:00Z,CP-001.LOAD_PCT,CP-001,67.8,%,Good
2026-03-17T05:15:00Z,CP-001.LOAD_PCT,CP-001,62.0,%,Good
2026-03-17T05:30:00Z,CP-001.LOAD_PCT,CP-001,57.0,%,Good
2026-03-17T05:45:00Z,CP-001.LOAD_PCT,CP-001,62.7,%,Good
2026-03-17T06:00:00Z,CP-001.LOAD_PCT,CP-001,67.6,%,Good
2026-03-17T06:15:00Z,CP-001.LOAD_PCT,CP-001,74.3,%,Good
2026-03-17T06:30:00Z,CP-001.LOAD_PCT,CP-001,70.5,%,Good
2026-03-17T06:45:00Z,CP-001.LOAD_PCT,CP-001,70.5,%,Good
2026-03-17T07:00:00Z,CP-001.LOAD_PCT,CP-001,65.5,%,Good
2026-03-17T07:15:00Z,CP-001.LOAD_PCT,CP-001,78.2,%,Good
2026-03-17T07:30:00Z,CP-001.LOAD_PCT,CP-001,68.8,%,Good
2026-03-17T07:45:00Z,CP-001.LOAD_PCT,CP-001,79.0,%,Good
2026-03-17T08:00:00Z,CP-001.LOAD_PCT,CP-001,77.7,%,Good
2026-03-17T08:15:00Z,CP-001.LOAD_PCT,CP-001,70.9,%,Good
2026-03-17T08:30:00Z,CP-001.LOAD_PCT,CP-001,76.3,%,Good
2026-03-17T08:45:00Z,CP-001.LOAD_PCT,CP-001,80.0,%,Good
2026-03-17T09:00:00Z,CP-001.LOAD_PCT,CP-001,78.9,%,Good
2026-03-17T09:15:00Z,CP-001.LOAD_PCT,CP-001,76.1,%,Good
2026-03-17T09:30:00Z,CP-001.LOAD_PCT,CP-001,72.1,%,Good
2026-03-17T09:45:00Z,CP-001.LOAD_PCT,CP-001,75.1,%,Good
